,CustomerID,Invoices,DistinctProducts,Sales,OverallQuantity,SalesPerInvoice,ItemsPerInvoice,DistinctMonths,LastBuyMonths,SalesPerMonth,uniqueWeekdayInovices,uniqueWeekendInovices,WeekendPct
171,16025,1,28,439.65999999999997,338,439.66,338.0,1,2,440.0,1,0,0.0
4004,15570,12,224,3951.32,2049,329.28,170.75,13,1,304.0,10,2,0.16666666666666666
14,14406,1,8,156.75,77,156.75,77.0,1,5,157.0,1,0,0.0
189,16297,1,20,301.9,206,301.9,206.0,1,10,302.0,1,0,0.0
3626,17924,7,25,2712.6600000000003,944,387.52,134.86,12,2,226.0,7,0,0.0
2023,13656,2,49,379.65,490,189.82,245.0,6,7,63.0,2,0,0.0
148,12573,1,26,160.54000000000002,84,160.54,84.0,1,9,161.0,1,0,0.0
2017,17969,2,13,198.3,150,99.15,75.0,7,7,28.0,1,1,0.5
2715,12541,3,46,841.18,675,280.39,225.0,9,2,93.0,2,1,0.3333333333333333
69,18181,1,39,349.90000000000003,132,349.9,132.0,1,2,350.0,1,0,0.0
1022,16761,1,13,316.62,341,316.62,341.0,1,4,317.0,0,1,1.0
1046,13850,1,93,1595.48,944,1595.48,944.0,1,5,1595.0,1,0,0.0
1044,17464,1,8,248.20000000000002,76,248.2,76.0,1,6,248.0,1,0,0.0
3099,14443,4,83,1384.25,937,346.06,234.25,11,3,126.0,3,1,0.25
2717,17002,3,41,1366.23,669,455.41,223.0,8,4,171.0,2,1,0.3333333333333333
3818,12757,8,236,3999.55,2383,499.94,297.88,7,2,571.0,8,0,0.0
1538,17078,2,26,360.52,592,180.26,296.0,1,2,361.0,2,0,0.0
267,18033,1,31,89.82,152,89.82,152.0,1,3,90.0,1,0,0.0
3824,12423,8,93,1600.41,1322,200.05,165.25,13,1,123.0,8,0,0.0
1041,15019,1,64,252.81,150,252.81,150.0,1,10,253.0,1,0,0.0
2914,15862,4,139,776.6,475,194.15,118.75,13,1,60.0,4,0,0.0
3283,13141,5,112,2337.75,1544,467.55,308.8,9,4,260.0,5,0,0.0
1318,17286,1,44,151.37,117,151.37,117.0,1,2,151.0,1,0,0.0
2448,17631,3,37,498.63,332,166.21,110.67,9,1,55.0,3,0,0.0
235,16339,1,17,94.05,21,94.05,21.0,1,11,94.0,1,0,0.0
3486,17007,6,47,832.53,593,138.76,98.83,11,3,76.0,5,1,0.16666666666666666
3964,12955,11,81,4729.32,3568,429.94,324.36,10,1,473.0,11,0,0.0
1595,12512,2,31,132.18,96,66.09,48.0,1,3,132.0,2,0,0.0
1410,14348,1,18,409.57,183,409.57,183.0,1,10,410.0,1,0,0.0
1663,14147,2,4,483.4,108,241.7,54.0,8,4,60.0,1,1,0.5
2691,18127,3,38,283.83,183,94.61,61.0,5,2,57.0,1,2,0.6666666666666666
1220,14079,1,10,178.2,199,178.2,199.0,1,5,178.0,0,1,1.0
1834,13978,2,14,196.79000000000002,315,98.4,157.5,2,2,98.0,2,0,0.0
1514,18265,2,40,707.76,304,353.88,152.0,3,4,236.0,2,0,0.0
3820,15134,8,45,1369.75,791,171.22,98.88,8,2,171.0,8,0,0.0
3549,12853,6,62,1640.9,596,273.48,99.33,7,6,234.0,6,0,0.0
1737,16311,2,34,603.51,393,301.76,196.5,2,2,302.0,2,0,0.0
2806,16203,4,27,592.9,262,148.22,65.5,11,3,54.0,4,0,0.0
1119,14953,1,54,285.67,224,285.67,224.0,1,2,286.0,1,0,0.0
1095,13897,1,17,311.16,200,311.16,200.0,1,3,311.0,1,0,0.0
1234,14104,1,18,77.36,68,77.36,68.0,1,7,77.0,1,0,0.0
1545,17100,2,65,971.74,800,485.87,400.0,1,2,972.0,2,0,0.0
2092,13563,2,44,484.88,204,242.44,102.0,3,4,162.0,2,0,0.0
2149,13005,2,21,513.7,172,256.85,86.0,3,7,171.0,1,1,0.5
3095,17092,4,98,1740.13,1128,435.03,282.0,8,3,218.0,4,0,0.0
1612,14555,2,18,312.54,122,156.27,61.0,9,3,35.0,2,0,0.0
454,13002,1,7,120.94999999999999,73,120.95,73.0,1,12,121.0,1,0,0.0
306,16366,1,17,301.8,254,301.8,254.0,1,2,302.0,1,0,0.0
3016,13838,4,142,649.32,252,162.33,63.0,13,1,50.0,0,4,1.0
4057,14191,13,145,4684.76,3662,360.37,281.69,8,1,586.0,13,0,0.0
420,17947,1,9,176.68,168,176.68,168.0,1,2,177.0,1,0,0.0
1078,13886,1,16,243.56,126,243.56,126.0,1,4,244.0,1,0,0.0
3221,15107,5,10,291.8,167,58.36,33.4,3,11,97.0,4,1,0.2
992,13774,1,21,330.05,191,330.05,191.0,1,4,330.0,1,0,0.0
4068,13001,13,165,7611.650000000001,3752,585.51,288.62,12,1,634.0,12,1,0.07692307692307693
1465,12425,1,35,751.7,494,751.7,494.0,1,4,752.0,1,0,0.0
3619,15874,7,101,3613.4500000000003,1754,516.21,250.57,9,3,401.0,7,0,0.0
2167,13434,2,7,179.04000000000002,108,89.52,54.0,1,4,179.0,1,1,0.5
3496,15811,6,114,2154.87,1066,359.14,177.67,12,2,180.0,6,0,0.0
3838,17512,9,59,2073.9500000000003,1265,230.44,140.56,10,2,207.0,9,0,0.0
644,13273,1,16,138.98,153,138.98,153.0,1,5,139.0,1,0,0.0
3306,18171,5,40,1149.56,476,229.91,95.2,10,3,115.0,5,0,0.0
1330,14557,1,16,788.38,510,788.38,510.0,1,4,788.0,1,0,0.0
1844,16836,2,11,251.87,165,125.94,82.5,3,3,84.0,2,0,0.0
469,17899,1,28,137.6,169,137.6,169.0,1,6,138.0,0,1,1.0
3091,14224,4,97,848.63,473,212.16,118.25,8,5,106.0,0,4,1.0
1267,17303,1,52,233.09,143,233.09,143.0,1,13,233.0,1,0,0.0
1207,14054,1,6,92.46,62,92.46,62.0,1,3,92.0,1,0,0.0
3192,16209,5,35,888.98,626,177.8,125.2,6,4,148.0,5,0,0.0
1653,14620,2,26,412.78000000000003,214,206.39,107.0,3,8,138.0,2,0,0.0
4002,14132,11,99,3515.83,3260,319.62,296.36,7,1,502.0,11,0,0.0
247,15944,1,6,325.1,50,325.1,50.0,1,10,325.0,1,0,0.0
1137,14873,1,26,481.43,165,481.43,165.0,1,8,481.0,1,0,0.0
174,16017,1,25,191.93,101,191.93,101.0,1,3,192.0,0,1,1.0
49,16236,1,20,432.2,184,432.2,184.0,1,4,432.0,1,0,0.0
3977,14159,11,505,4562.4,4343,414.76,394.82,12,2,380.0,7,4,0.36363636363636365
308,12792,1,23,329.59,214,329.59,214.0,1,10,330.0,1,0,0.0
2976,15707,4,126,904.23,593,226.06,148.25,3,2,301.0,4,0,0.0
866,16692,1,1,8.5,1,8.5,1.0,1,11,8.0,1,0,0.0
2803,18273,3,1,204.0,80,68.0,26.67,10,1,20.0,2,1,0.3333333333333333
3762,17314,8,120,2472.2400000000002,1704,309.03,213.0,11,2,225.0,8,0,0.0
1179,14847,1,13,309.4,120,309.4,120.0,1,6,309.0,1,0,0.0
879,15243,1,22,316.68,185,316.68,185.0,1,4,317.0,1,0,0.0
2141,17672,2,99,2747.82,1557,1373.91,778.5,9,3,305.0,2,0,0.0
294,18011,1,28,102.78999999999999,71,102.79,71.0,1,13,103.0,1,0,0.0
2788,14463,3,5,514.62,178,171.54,59.33,5,4,103.0,3,0,0.0
1484,18281,1,5,46.92,52,46.92,52.0,1,7,47.0,0,1,1.0
139,16073,1,1,122.39999999999999,48,122.4,48.0,1,11,122.0,1,0,0.0
1372,17219,1,24,114.23,89,114.23,89.0,1,2,114.0,1,0,0.0
819,15263,1,12,156.51,89,156.51,89.0,1,5,157.0,1,0,0.0
2762,16136,3,35,709.38,440,236.46,146.67,8,3,89.0,3,0,0.0
1377,14317,1,24,508.58000000000004,255,508.58,255.0,1,3,509.0,1,0,0.0
4263,12748,203,1736,27694.6,20324,136.43,100.12,13,1,2130.0,180,23,0.11330049261083744
573,13132,1,3,77.3,20,77.3,20.0,1,10,77.0,1,0,0.0
1283,14164,1,27,1094.77,733,1094.77,733.0,1,4,1095.0,1,0,0.0
4183,18041,21,286,3731.64,3367,177.7,160.33,12,2,311.0,20,1,0.047619047619047616
491,15645,1,50,612.01,256,612.01,256.0,1,2,612.0,1,0,0.0
2609,16842,3,46,1162.19,685,387.4,228.33,7,5,166.0,3,0,0.0
2010,12872,2,57,574.47,317,287.24,158.5,2,12,287.0,2,0,0.0
2272,13221,2,60,794.21,240,397.1,120.0,5,9,159.0,2,0,0.0
2390,13037,3,43,868.32,430,289.44,143.33,5,6,174.0,2,1,0.3333333333333333
3404,16550,5,157,2121.3,1231,424.26,246.2,9,5,236.0,5,0,0.0
1482,18277,1,8,110.38,68,110.38,68.0,1,3,110.0,1,0,0.0
3947,18061,10,16,1706.13,451,170.61,45.1,12,2,142.0,10,0,0.0
3866,14573,9,120,1165.1200000000001,500,129.46,55.56,7,7,166.0,8,1,0.1111111111111111
3578,12477,6,189,11839.44,3295,1973.24,549.17,10,2,1184.0,6,0,0.0
1749,17362,2,29,276.28,190,138.14,95.0,3,9,92.0,2,0,0.0
1877,13917,2,16,272.04,228,136.02,114.0,5,3,54.0,2,0,0.0
1842,16825,2,24,572.48,276,286.24,138.0,6,2,95.0,2,0,0.0
773,17680,1,11,184.4,96,184.4,96.0,1,2,184.0,1,0,0.0
2031,17584,2,29,1212.4,456,606.2,228.0,5,1,242.0,2,0,0.0
2229,17737,2,8,168.24,108,84.12,54.0,2,2,84.0,2,0,0.0
2535,17521,3,38,723.2099999999999,519,241.07,173.0,7,2,103.0,3,0,0.0
1428,14453,1,22,119.93,49,119.93,49.0,1,7,120.0,1,0,0.0
3141,14859,4,45,1264.24,665,316.06,166.25,7,2,181.0,2,2,0.5
1030,13809,1,9,104.05,25,104.05,25.0,1,11,104.0,1,0,0.0
3422,16150,5,91,2053.02,1047,410.6,209.4,11,3,187.0,5,0,0.0
2072,13573,2,23,267.21,110,133.6,55.0,8,3,33.0,2,0,0.0
3140,14970,4,24,1592.06,250,398.02,62.5,10,3,159.0,3,1,0.25
2359,17830,3,17,373.2,90,124.4,30.0,11,1,34.0,3,0,0.0
3830,15622,9,162,3414.11,1658,379.35,184.22,8,3,427.0,9,0,0.0
4001,18144,11,26,1575.75,531,143.25,48.27,12,2,131.0,11,0,0.0
4040,12712,13,56,3903.13,1035,300.24,79.62,12,2,325.0,13,0,0.0
1664,14150,2,23,658.64,496,329.32,248.0,12,2,55.0,2,0,0.0
453,15653,1,4,48.0,48,48.0,48.0,1,5,48.0,1,0,0.0
3325,13824,5,34,1578.94,672,315.79,134.4,10,2,158.0,5,0,0.0
2178,15366,2,35,577.01,619,288.5,309.5,10,4,58.0,1,1,0.5
1310,14652,1,29,114.18,53,114.18,53.0,1,4,114.0,1,0,0.0
122,18159,1,21,498.25,137,498.25,137.0,1,11,498.0,1,0,0.0
433,16448,1,18,157.49,74,157.49,74.0,1,8,157.0,1,0,0.0
3640,13232,7,144,1207.6,668,172.51,95.43,8,2,151.0,2,5,0.7142857142857143
249,15940,1,1,35.8,4,35.8,4.0,1,11,36.0,1,0,0.0
3760,18257,8,97,2299.38,1038,287.42,129.75,9,3,255.0,8,0,0.0
1613,17237,2,18,314.69,105,157.34,52.5,1,2,315.0,2,0,0.0
1528,16239,2,17,363.2,224,181.6,112.0,5,3,73.0,2,0,0.0
3318,12451,5,255,8059.74,6044,1611.95,1208.8,11,2,733.0,5,0,0.0
1475,12365,1,20,307.94,172,307.94,172.0,1,11,308.0,1,0,0.0
946,16753,1,34,223.92000000000002,189,223.92,189.0,1,3,224.0,1,0,0.0
3126,14715,4,58,846.4300000000001,420,211.61,105.0,11,2,77.0,4,0,0.0
1097,17456,1,17,249.86,222,249.86,222.0,1,13,250.0,1,0,0.0
3543,14078,6,45,1023.87,308,170.64,51.33,9,5,114.0,6,0,0.0
3845,14961,9,189,6373.93,3095,708.21,343.89,12,2,531.0,9,0,0.0
461,16461,1,30,126.97,47,126.97,47.0,1,7,127.0,1,0,0.0
3949,13491,10,72,1181.92,901,118.19,90.1,11,3,107.0,10,0,0.0
2419,13447,3,54,1112.49,583,370.83,194.33,1,2,1112.0,2,1,0.3333333333333333
155,16276,1,5,277.8,132,277.8,132.0,1,7,278.0,1,0,0.0
1158,17382,1,1,50.400000000000006,24,50.4,24.0,1,3,50.0,1,0,0.0
234,16340,1,122,491.86,483,491.86,483.0,1,5,492.0,1,0,0.0
2726,18155,3,19,371.62,266,123.87,88.67,8,4,46.0,2,1,0.3333333333333333
266,18042,1,7,165.04999999999998,33,165.05,33.0,1,3,165.0,1,0,0.0
2287,14452,2,54,242.1,115,121.05,57.5,3,2,81.0,2,0,0.0
480,15623,1,19,301.03,125,301.03,125.0,1,6,301.0,1,0,0.0
3991,12523,11,79,1581.32,852,143.76,77.45,11,2,144.0,9,2,0.18181818181818182
760,15363,1,16,326.0,144,326.0,144.0,1,13,326.0,1,0,0.0
415,16425,1,21,302.7,199,302.7,199.0,1,11,303.0,1,0,0.0
2472,16442,3,160,592.35,442,197.45,147.33,13,1,46.0,3,0,0.0
672,13322,1,25,199.48000000000002,117,199.48,117.0,1,2,199.0,1,0,0.0
1510,17155,2,19,251.70000000000002,242,125.85,121.0,6,2,42.0,2,0,0.0
2685,16943,3,21,770.88,142,256.96,47.33,5,8,154.0,3,0,0.0
397,15774,1,24,245.3,85,245.3,85.0,1,3,245.0,0,1,1.0
3783,14547,8,192,3672.2000000000003,2520,459.02,315.0,3,1,1224.0,3,5,0.625
3588,16173,6,69,1403.3700000000001,574,233.9,95.67,3,2,468.0,6,0,0.0
59,18203,1,19,160.42000000000002,43,160.42,43.0,1,6,160.0,1,0,0.0
1423,17117,1,9,116.19999999999999,68,116.2,68.0,1,11,116.0,1,0,0.0
3018,13865,4,24,437.81,199,109.45,49.75,9,3,49.0,4,0,0.0
2975,15706,4,49,1047.81,320,261.95,80.0,3,3,349.0,3,1,0.25
2373,16495,3,76,585.46,324,195.15,108.0,10,1,59.0,3,0,0.0
2239,15468,2,24,467.51,155,233.76,77.5,1,3,468.0,2,0,0.0
1711,18121,2,28,653.3,438,326.65,219.0,1,6,653.0,2,0,0.0
3396,17469,5,63,1870.97,787,374.19,157.4,7,2,267.0,5,0,0.0
2604,12722,3,47,873.5799999999999,558,291.19,186.0,3,4,291.0,3,0,0.0
1725,15990,2,50,753.86,440,376.93,220.0,9,3,84.0,2,0,0.0
3380,14498,5,158,1757.42,1094,351.48,218.8,11,3,160.0,5,0,0.0
2030,17935,2,28,145.79,82,72.9,41.0,1,6,146.0,1,1,0.5
3322,13397,5,27,1416.53,422,283.31,84.4,9,4,157.0,4,1,0.2
1304,14185,1,2,32.65,5,32.65,5.0,1,12,33.0,1,0,0.0
2511,17550,3,41,207.36,82,69.12,27.33,2,8,104.0,2,1,0.3333333333333333
843,15280,1,16,113.12,154,113.12,154.0,1,7,113.0,1,0,0.0
413,16430,1,6,300.85,103,300.85,103.0,1,3,301.0,1,0,0.0
3988,17340,11,227,11987.880000000001,5612,1089.81,510.18,12,2,999.0,11,0,0.0
3046,14113,4,26,1254.82,553,313.7,138.25,13,1,97.0,4,0,0.0
3042,15561,4,24,582.94,252,145.74,63.0,7,2,83.0,3,1,0.25
1420,14483,1,9,137.1,97,137.1,97.0,1,10,137.0,1,0,0.0
922,15178,1,3,40.5,30,40.5,30.0,1,10,40.0,1,0,0.0
2371,15620,3,89,1484.98,911,494.99,303.67,11,3,135.0,3,0,0.0
3599,14178,7,191,1600.26,1494,228.61,213.43,7,1,229.0,6,1,0.14285714285714285
4151,13004,18,277,5604.91,4818,311.38,267.67,12,2,467.0,17,1,0.05555555555555555
490,15649,1,1,306.0,72,306.0,72.0,1,12,306.0,1,0,0.0
1335,17248,1,68,318.65,213,318.65,213.0,1,5,319.0,1,0,0.0
1608,14265,2,24,398.23,321,199.12,160.5,2,5,199.0,2,0,0.0
4064,15249,13,211,6663.51,3576,512.58,275.08,9,2,740.0,13,0,0.0
3567,16871,6,128,2706.29,1246,451.05,207.67,9,2,301.0,5,1,0.16666666666666666
3285,16362,5,58,709.99,340,142.0,68.0,3,2,237.0,5,0,0.0
1603,14242,2,12,255.05,121,127.52,60.5,4,9,64.0,2,0,0.0
1696,12596,2,23,384.03,372,192.02,186.0,7,3,55.0,2,0,0.0
2213,13040,2,38,676.99,355,338.5,177.5,2,1,338.0,1,1,0.5
3583,12721,6,129,2271.53,1936,378.59,322.67,12,2,189.0,6,0,0.0
2064,15232,2,26,612.06,686,306.03,343.0,2,5,306.0,2,0,0.0
2942,13316,4,63,4275.41,1852,1068.85,463.0,9,2,475.0,3,1,0.25
2532,13750,3,19,794.78,228,264.93,76.0,9,3,88.0,3,0,0.0
2414,15399,3,45,815.77,611,271.92,203.67,4,1,204.0,3,0,0.0
2104,16660,2,14,708.6899999999999,355,354.34,177.5,11,2,64.0,2,0,0.0
1584,12504,2,5,415.29999999999995,86,207.65,43.0,1,2,415.0,2,0,0.0
2739,14250,3,94,1904.05,1200,634.68,400.0,4,1,476.0,2,1,0.3333333333333333
1150,16820,1,23,449.76,304,449.76,304.0,1,4,450.0,1,0,0.0
2270,15531,2,194,1944.69,1083,972.34,541.5,2,1,972.0,2,0,0.0
3270,14745,5,46,1192.42,942,238.48,188.4,7,5,170.0,4,1,0.2
4031,17139,12,305,9975.17,5146,831.26,428.83,10,2,998.0,12,0,0.0
596,13185,1,1,71.4,12,71.4,12.0,1,10,71.0,1,0,0.0
1018,16773,1,23,171.59,171,171.59,171.0,1,3,172.0,1,0,0.0
2929,13155,4,65,929.11,494,232.28,123.5,12,2,77.0,3,1,0.25
2804,16188,4,63,941.41,779,235.35,194.75,7,3,134.0,4,0,0.0
2547,13812,3,32,485.0,330,161.67,110.0,3,3,162.0,3,0,0.0
1322,17268,1,2,35.0,28,35.0,28.0,1,6,35.0,1,0,0.0
974,15127,1,16,406.53,251,406.53,251.0,1,3,407.0,1,0,0.0
1811,18048,2,6,172.29000000000002,127,86.15,63.5,1,8,172.0,2,0,0.0
2439,16460,3,128,811.23,876,270.41,292.0,3,2,270.0,3,0,0.0
776,15350,1,5,115.65,51,115.65,51.0,1,13,116.0,1,0,0.0
2773,17115,3,31,786.5,368,262.17,122.67,9,1,87.0,3,0,0.0
2808,16206,4,52,537.0600000000001,272,134.27,68.0,10,3,54.0,0,4,1.0
91,16216,1,34,702.48,250,702.48,250.0,1,10,702.0,1,0,0.0
1152,16856,1,2,35.400000000000006,12,35.4,12.0,1,2,35.0,1,0,0.0
1954,16386,2,75,289.82,204,144.91,102.0,9,2,32.0,2,0,0.0
1430,14381,1,56,202.68,146,202.68,146.0,1,3,203.0,1,0,0.0
1015,15066,1,40,817.09,311,817.09,311.0,1,3,817.0,1,0,0.0
2743,17041,3,59,1071.49,927,357.16,309.0,12,2,89.0,2,1,0.3333333333333333
2041,12878,2,38,854.99,547,427.5,273.5,2,9,427.0,1,1,0.5
3551,15996,6,100,959.73,377,159.96,62.83,10,4,96.0,5,1,0.16666666666666666
4105,13269,15,177,4963.84,3213,330.92,214.2,13,1,382.0,13,2,0.13333333333333333
1356,14585,1,29,157.05,91,157.05,91.0,1,3,157.0,1,0,0.0
426,15709,1,6,133.25,121,133.25,121.0,1,10,133.0,1,0,0.0
248,15942,1,14,337.44,232,337.44,232.0,1,6,337.0,1,0,0.0
2510,17545,3,120,527.57,328,175.86,109.33,1,3,528.0,3,0,0.0
3068,15411,4,85,1297.93,525,324.48,131.25,6,2,216.0,2,2,0.5
654,15466,1,56,334.53,246,334.53,246.0,1,4,335.0,1,0,0.0
2303,14427,2,16,363.34000000000003,228,181.67,114.0,1,3,363.0,2,0,0.0
2380,15456,3,47,378.85,487,126.28,162.33,4,10,95.0,3,0,0.0
3433,18097,6,63,2569.16,1442,428.19,240.33,13,1,198.0,6,0,0.0
2083,15714,2,34,330.03000000000003,186,165.02,93.0,3,2,110.0,2,0,0.0
560,15553,1,51,428.93,449,428.93,449.0,1,3,429.0,1,0,0.0
600,15543,1,26,127.86,86,127.86,86.0,1,11,128.0,1,0,0.0
4177,16705,20,126,12325.49,4386,616.27,219.3,13,1,948.0,19,1,0.05
2934,17722,4,102,1802.74,1453,450.68,363.25,10,4,180.0,3,1,0.25
874,13581,1,10,118.0,30,118.0,30.0,1,11,118.0,1,0,0.0
3135,16676,4,72,1461.22,630,365.3,157.5,11,2,133.0,3,1,0.25
1689,17312,2,10,104.30000000000001,60,52.15,30.0,1,6,104.0,1,1,0.5
1693,12585,2,71,1534.81,1064,767.4,532.0,5,9,307.0,2,0,0.0
4023,16678,12,93,3109.99,2397,259.17,199.75,10,1,311.0,10,2,0.16666666666666666
3718,12352,7,56,1321.99,521,188.86,74.43,10,2,132.0,7,0,0.0
2321,12414,3,15,442.41,297,147.47,99.0,4,8,111.0,3,0,0.0
1562,12493,2,17,362.79,203,181.4,101.5,2,7,181.0,2,0,0.0
643,13278,1,45,527.78,536,527.78,536.0,1,3,528.0,0,1,1.0
1311,14647,1,24,236.04000000000002,91,236.04,91.0,1,8,236.0,0,1,1.0
2490,13643,3,24,519.44,273,173.15,91.0,6,2,87.0,3,0,0.0
4103,14282,15,72,3339.44,2356,222.63,157.07,13,1,257.0,14,1,0.06666666666666667
3250,13213,5,79,1434.2,1166,286.84,233.2,6,3,239.0,5,0,0.0
2765,18188,3,63,1679.92,952,559.97,317.33,10,2,168.0,3,0,0.0
1825,14912,2,20,620.65,535,310.32,267.5,8,2,78.0,2,0,0.0
309,12790,1,20,294.92,164,294.92,164.0,1,8,295.0,1,0,0.0
12,14413,1,22,121.05,67,121.05,67.0,1,13,121.0,0,1,1.0
1684,14697,2,22,188.60999999999999,181,94.3,90.5,1,8,189.0,2,0,0.0
81,16256,1,9,475.95,197,475.95,197.0,1,10,476.0,1,0,0.0
4214,16168,26,54,2842.84,1240,109.34,47.69,12,2,237.0,20,6,0.23076923076923078
2194,15406,2,51,510.71000000000004,254,255.36,127.0,10,2,51.0,2,0,0.0
3668,13527,7,152,2204.11,1680,314.87,240.0,11,2,200.0,2,5,0.7142857142857143
1367,14280,1,7,108.53999999999999,50,108.54,50.0,1,8,109.0,1,0,0.0
2254,16546,2,25,787.15,549,393.58,274.5,3,11,262.0,2,0,0.0
1417,17171,1,15,199.41,183,199.41,183.0,1,11,199.0,1,0,0.0
2491,15156,3,50,901.69,593,300.56,197.67,2,1,451.0,2,1,0.3333333333333333
4,14431,1,15,368.36,122,368.36,122.0,1,11,368.0,1,0,0.0
912,16723,1,33,353.86,299,353.86,299.0,1,5,354.0,1,0,0.0
656,13295,1,10,201.20000000000002,82,201.2,82.0,1,13,201.0,1,0,0.0
3772,17365,8,274,4575.1,4395,571.89,549.38,11,2,416.0,7,1,0.125
2283,17786,2,57,266.85,195,133.43,97.5,9,4,30.0,2,0,0.0
1038,17510,1,19,282.98,212,282.98,212.0,1,2,283.0,1,0,0.0
205,18110,1,33,198.8,72,198.8,72.0,1,2,199.0,0,1,1.0
2175,13034,2,36,627.82,368,313.91,184.0,11,3,57.0,0,2,1.0
607,13170,1,29,108.81,141,108.81,141.0,1,2,109.0,0,1,1.0
3300,12502,5,96,2492.72,757,498.54,151.4,8,4,312.0,5,0,0.0
2861,16007,4,223,1681.06,1387,420.26,346.75,6,3,280.0,0,4,1.0
1099,14981,1,8,102.12,97,102.12,97.0,1,9,102.0,1,0,0.0
3546,14210,6,64,1842.0900000000001,755,307.02,125.83,9,5,205.0,6,0,0.0
3620,14201,7,30,710.96,398,101.57,56.86,11,3,65.0,6,1,0.14285714285714285
487,13011,1,3,50.550000000000004,13,50.55,13.0,1,13,51.0,1,0,0.0
2147,12991,2,31,503.76,405,251.88,202.5,4,2,126.0,2,0,0.0
1376,17197,1,29,1013.01,191,1013.01,191.0,1,2,1013.0,1,0,0.0
1332,14237,1,7,114.35000000000001,35,114.35,35.0,1,13,114.0,1,0,0.0
1881,14947,2,13,275.82,178,137.91,89.0,2,4,138.0,2,0,0.0
2142,17674,2,18,398.4,528,199.2,264.0,10,4,40.0,2,0,0.0
1081,13876,1,7,122.7,36,122.7,36.0,1,3,123.0,1,0,0.0
3028,14016,4,145,3491.66,1982,872.92,495.5,8,6,436.0,4,0,0.0
3330,14035,5,41,1413.02,738,282.6,147.6,10,2,141.0,4,1,0.2
2346,17779,3,73,650.32,396,216.77,132.0,5,2,130.0,3,0,0.0
2070,13566,2,134,856.84,567,428.42,283.5,2,3,428.0,0,2,1.0
1700,14128,2,40,637.5,564,318.75,282.0,8,3,80.0,2,0,0.0
3513,17203,6,108,2252.48,1666,375.41,277.67,2,2,1126.0,6,0,0.0
637,16569,1,5,124.2,93,124.2,93.0,1,1,124.0,1,0,0.0
201,18119,1,29,180.7,124,180.7,124.0,1,13,181.0,1,0,0.0
731,13370,1,38,729.37,341,729.37,341.0,1,13,729.0,1,0,0.0
47,16182,1,6,162.64999999999998,91,162.65,91.0,1,4,163.0,1,0,0.0
2169,15339,2,77,574.07,416,287.04,208.0,10,3,57.0,2,0,0.0
1534,14501,2,9,251.21,161,125.6,80.5,6,7,42.0,2,0,0.0
83,16247,1,16,114.56,182,114.56,182.0,1,7,115.0,1,0,0.0
26,18255,1,6,103.3,74,103.3,74.0,1,4,103.0,0,1,1.0
3556,14841,6,102,3158.78,1676,526.46,279.33,11,3,287.0,6,0,0.0
3341,15227,5,38,975.06,640,195.01,128.0,11,2,89.0,4,1,0.2
2615,14836,3,5,102.44999999999999,45,34.15,15.0,1,2,102.0,3,0,0.0
2376,13282,3,27,1012.5400000000001,299,337.51,99.67,7,2,145.0,3,0,0.0
3956,16775,11,82,1608.96,434,146.27,39.45,12,2,134.0,11,0,0.0
1212,16895,1,57,202.27,91,202.27,91.0,1,3,202.0,1,0,0.0
1053,15052,1,26,127.83,77,127.83,77.0,1,12,128.0,1,0,0.0
3195,18221,5,58,1003.36,788,200.67,157.6,7,2,143.0,5,0,0.0
3082,14285,4,17,1893.06,540,473.26,135.0,6,2,316.0,3,1,0.25
4104,12709,15,90,9030.77,3866,602.05,257.73,12,2,753.0,14,1,0.06666666666666667
143,16063,1,23,335.32,262,335.32,262.0,1,10,335.0,1,0,0.0
1760,14817,2,51,1010.34,653,505.17,326.5,3,8,337.0,2,0,0.0
3877,14426,9,179,3988.67,2563,443.19,284.78,11,2,363.0,9,0,0.0
1899,14984,2,36,189.62,57,94.81,28.5,6,2,32.0,0,2,1.0
724,15368,1,3,167.70000000000002,74,167.7,74.0,1,2,168.0,1,0,0.0
2876,12937,4,80,1491.52,1006,372.88,251.5,9,2,166.0,4,0,0.0
3064,17262,4,8,756.76,171,189.19,42.75,11,3,69.0,4,0,0.0
93,16148,1,1,76.32000000000001,72,76.32,72.0,1,11,76.0,1,0,0.0
872,13584,1,24,142.4,37,142.4,37.0,1,11,142.0,0,1,1.0
804,16641,1,12,231.10000000000002,256,231.1,256.0,1,5,231.0,1,0,0.0
402,17936,1,68,380.13,257,380.13,257.0,1,1,380.0,0,1,1.0
3553,16899,6,81,1271.06,520,211.84,86.67,13,1,98.0,4,2,0.3333333333333333
2782,14359,3,42,882.48,369,294.16,123.0,3,2,294.0,2,1,0.3333333333333333
3235,16891,5,165,725.48,264,145.1,52.8,13,1,56.0,5,0,0.0
1890,16808,2,20,250.17,193,125.08,96.5,7,4,36.0,2,0,0.0
118,12534,1,60,936.73,642,936.73,642.0,1,5,937.0,1,0,0.0
2498,17579,3,45,436.15000000000003,257,145.38,85.67,7,1,62.0,3,0,0.0
2637,14038,3,66,1560.38,965,520.13,321.67,5,4,312.0,3,0,0.0
2957,17700,4,113,2492.19,1263,623.05,315.75,9,2,277.0,4,0,0.0
104,12519,1,16,276.84,172,276.84,172.0,1,3,277.0,1,0,0.0
2718,17014,3,61,519.6800000000001,238,173.23,79.33,3,1,173.0,3,0,0.0
